ID_POSTCODE;POSTCODE;ID_LCG;VERSION;DATE_FROM;DATE_TO
166;BT45 8AZ;3;1;2018-11-05;2018-11-05
167;BT45 6BL;3;1;2018-11-05;2018-11-05
168;BT45 7LJ;3;1;2018-11-05;2018-11-05
169;BT37 9UH;3;1;2018-11-05;2018-11-05
170;BT39 9HL;3;1;2018-11-05;2018-11-05
171;BT37 9QW;3;1;2018-11-05;2018-11-05
172;BT36 7XX;3;1;2018-11-05;2018-11-05
173;BT37 9QN;3;1;2018-11-05;2018-11-05
174;BT32 3NQ;4;1;2018-11-05;2018-11-05
175;BT63 6JS;4;1;2018-11-05;2018-11-05
176;BT66 6BW;4;1;2018-11-05;2018-11-05
177;BT66 7LR;4;1;2018-11-05;2018-11-05
178;BT66 8BA;4;1;2018-11-05;2018-11-05
179;BT66 8DW;4;1;2018-11-05;2018-11-05
180;BT67 9AA;4;1;2018-11-05;2018-11-05
181;BT66 6JB;4;1;2018-11-05;2018-11-05
182;BT32 3GN;4;1;2018-11-05;2018-11-05
183;BT32 3NH;4;1;2018-11-05;2018-11-05
184;BT67 0LQ;2;1;2018-11-05;2018-11-05
185;BT25 1BD;4;1;2018-11-05;2018-11-05
186;BT67 0DD;2;1;2018-11-05;2018-11-05
187;BT31 9TU;4;1;2018-11-05;2018-11-05
188;BT62 3BU;4;1;2018-11-05;2018-11-05
189;BT67 9BW;4;1;2018-11-05;2018-11-05
190;BT71 6BX;4;1;2018-11-05;2018-11-05
191;BT75 0ND;4;1;2018-11-05;2018-11-05
192;BT70 1HX;4;1;2018-11-05;2018-11-05
193;BT60 3RL;4;1;2018-11-05;2018-11-05
194;BT70 2EY;4;1;2018-11-05;2018-11-05
195;BT60 4QT;4;1;2018-11-05;2018-11-05
196;BT60 1TA;4;1;2018-11-05;2018-11-05
197;BT71 7SL;4;1;2018-11-05;2018-11-05
198;BT71 4AU;4;1;2018-11-05;2018-11-05
199;BT69 6AF;4;1;2018-11-05;2018-11-05
200;BT60 3TU;4;1;2018-11-05;2018-11-05
201;BT62 2AN;4;1;2018-11-05;2018-11-05
202;BT70 1HW;4;1;2018-11-05;2018-11-05
203;BT71 4LS;4;1;2018-11-05;2018-11-05
204;BT61 9PD;4;1;2018-11-05;2018-11-05
205;BT61 7QG;4;1;2018-11-05;2018-11-05
206;BT70 1HN;4;1;2018-11-05;2018-11-05
207;BT71 4LP;4;1;2018-11-05;2018-11-05
208;BT35 9HD;4;1;2018-11-05;2018-11-05
209;BT34 4TH;4;1;2018-11-05;2018-11-05
210;BT35 8JT;4;1;2018-11-05;2018-11-05
211;BT34 3HS;4;1;2018-11-05;2018-11-05
212;BT34 5LY;4;1;2018-11-05;2018-11-05
213;BT35 0PB;4;1;2018-11-05;2018-11-05
214;BT34 3JD;4;1;2018-11-05;2018-11-05
215;BT35 6BW;4;1;2018-11-05;2018-11-05
216;BT35 9RA;4;1;2018-11-05;2018-11-05
217;BT35 7DA;4;1;2018-11-05;2018-11-05
218;BT34 5QH;4;1;2018-11-05;2018-11-05
219;BT35 0BE;4;1;2018-11-05;2018-11-05
220;BT35 9JJ;4;1;2018-11-05;2018-11-05
221;BT34 3NE;4;1;2018-11-05;2018-11-05
222;BT34 4DN;4;1;2018-11-05;2018-11-05
223;BT34 4BH;4;1;2018-11-05;2018-11-05
224;BT65 5BE;4;1;2018-11-05;2018-11-05
225;BT94 1EH;5;1;2018-11-05;2018-11-05
226;BT74 6NN;5;1;2018-11-05;2018-11-05
227;BT92 0FP;5;1;2018-11-05;2018-11-05
228;BT93 3FY;5;1;2018-11-05;2018-11-05
229;BT92 9LB;5;1;2018-11-05;2018-11-05
230;BT93 6HW;5;1;2018-11-05;2018-11-05
231;BT94 4JG;5;1;2018-11-05;2018-11-05
232;BT92 1BZ;5;1;2018-11-05;2018-11-05
233;BT48 7NN;5;1;2018-11-05;2018-11-05
234;BT47 4AB;5;1;2018-11-05;2018-11-05
235;BT82 9AF;5;1;2018-11-05;2018-11-05
236;BT48 7DH;5;1;2018-11-05;2018-11-05
237;BT47 4TD;5;1;2018-11-05;2018-11-05
238;BT48 7NY;5;1;2018-11-05;2018-11-05
239;BT82 0NB;5;1;2018-11-05;2018-11-05
240;BT48 9DN;5;1;2018-11-05;2018-11-05
241;BT49 0TE;5;1;2018-11-05;2018-11-05
242;BT47 4RS;5;1;2018-11-05;2018-11-05
243;BT48 7GW;5;1;2018-11-05;2018-11-05
244;BT81 7AZ;5;1;2018-11-05;2018-11-05
245;BT48 7ER;5;1;2018-11-05;2018-11-05
