ID_AMP_NM;ID_VMP_NM;ID_VTM_NM;ID_INTERVAL_COST;ID_BNF;ID_PRACTICE;ID_TIME;TOTAL_ITEMS;TOTAL_QUANTITY;GROSS_COST;ACTUAL_COST
;876;279;7190;100;1;13;4;81;7,25;6,47
16775;878;280;4912;92;1;13;1;100;4,96;4,46
16777;882;280;7090;92;1;13;1;56;7,15;6,42
23603;885;281;5809;92;1;13;1;84;5,86;5,3
23606;887;281;10744;92;1;13;1;84;10,82;9,78
;893;282;82759;86;1;13;14;942;90,24;81,05
;894;282;13900;86;1;13;3;400;14,0;12,61
;896;282;68439;86;1;13;22;1820;72,24;64,64
;897;282;12569;86;1;13;1;100;12,66;11,25
;898;282;3399;86;1;13;1;50;3,44;3,06
;899;282;9717;86;1;13;6;330;9,79;8,9
;944;302;1619;68;1;13;1;200;1,64;1,46
;946;302;8574;87;1;13;3;220;8,64;7,71
;962;303;1685;201;1;13;1;12;1,71;1,55
10767;1017;304;22504;186;1;13;3;189;22,68;20,35
;1018;304;20005;186;1;13;1;168;20,16;18,43
4622;983;305;4386;186;1;13;2;168;4,43;4,0
;995;305;5885;186;1;13;1;84;5,94;5,37
6490;995;305;1783;186;1;13;1;28;1,81;1,63
4625;997;305;28792;186;1;13;6;442;29,08;26,02
;1020;306;82346;52;1;13;1;168;89,69;89,69
;920;295;3263;37;1;13;1;56;3,3;2,93
;924;297;14238;107;1;13;3;160;14,34;12,85
;1139;313;2469;241;1;13;1;30;2,5;2,22
;1144;315;19531;85;1;13;5;270;19,68;17,58
;1221;342;10076;62;1;13;1;150;10,15;9,02
18699;1221;342;26837;62;1;13;1;400;27,08;24,45
;1222;342;2628;62;1;13;3;84;2,66;2,39
;1227;343;6712;138;1;13;1;28;6,77;6,17
;1234;344;2139;149;1;13;1;84;2,17;1,93
6815;1234;344;18955;149;1;13;1;168;19,1;16,98
16875;1236;345;2807;209;1;13;2;10;2,84;2,52
;1242;345;46951;133;1;13;2;56;47,99;43,55
;1269;353;1676;73;1;13;1;56;1,7;1,54
;1274;353;4803;73;1;13;7;186;4,85;4,35
;1277;353;17732;73;1;13;12;658;17,86;16,1
;1305;360;2827;198;1;13;1;28;2,86;2,6
;1308;360;64757;198;1;13;9;392;67,83;60,85
8749;1308;360;4803;198;1;13;1;28;4,85;4,31
;1309;360;11229;198;1;13;1;56;11,31;10,24
;1321;367;3599;29;1;13;2;56;3,64;3,29
;1322;367;7259;29;1;13;2;112;7,32;6,55
;1325;367;3599;29;1;13;1;56;3,64;3,29
8352;1331;368;12906;87;1;13;1;140;13,0;11,75
;1343;369;22856;43;1;13;1;56;23,04;20,8
;1365;379;9319;50;1;13;1;56;9,39;8,59
;1381;386;7735;17;1;13;1;112;7,8;7,13
;1390;388;2189;99;1;13;2;56;2,22;1,97
21347;1402;392;2936;78;1;13;1;28;2,97;2,69
;1411;395;20185;102;1;13;12;187;20,34;18,16
;1414;395;31613;102;1;13;1;56;31,96;28,88
;1425;399;14594;81;1;13;2;196;14,7;13,1
;1591;413;965;41;1;13;1;28;0,98;0,87
;1642;429;5559;104;1;13;1;28;5,61;4,99
;1662;437;21036;8;1;13;4;224;21,2;18,85
;1664;437;52087;8;1;13;7;453;53,55;48,05
;1669;438;16602;146;1;13;1;24;16,72;15,07
25909;1669;438;16602;146;1;13;1;24;16,72;14,86
21214;1694;438;28568;134;1;13;1;332;28,85;26,07
15926;1672;445;13106;134;1;13;1;84;13,2;11,92
15925;1677;445;11348;134;1;13;1;84;11,43;10,28
17875;1708;452;16761;148;1;13;1;126;16,88;15,4
16860;1713;452;14100;148;1;13;2;126;14,2;12,62
26779;1714;453;29109;148;1;13;1;126;29,4;26,55
17989;1716;456;2787;148;1;13;1;63;2,82;2,51
6897;1721;460;21312;148;1;13;2;189;21,48;19,1
;1729;464;27719;198;1;13;2;56;27,98;24,87
;1730;464;19955;198;1;13;1;28;20,11;17,88
;1747;471;147430;52;1;13;5;224;210,48;190,13
;1759;476;11239;43;1;13;2;56;11,32;10,2
;1761;476;25023;43;1;13;2;112;25,24;22,59
;1763;476;4166;43;1;13;1;28;4,21;3,79
;1805;484;3589;169;1;13;3;156;3,63;3,26
;1810;487;7298;169;1;13;2;112;7,36;6,54
;1816;491;7935;62;1;13;3;142;8,0;7,22
;1817;491;4624;62;1;13;1;56;4,67;4,15
21309;1823;493;41110;135;1;13;1;84;41,82;37,18
;1835;497;1290;100;1;13;1;28;1,31;1,18
;1838;497;12309;100;1;13;6;160;12,4;11,06
8771;1840;498;14140;113;1;13;1;2;14,24;12,87
;1843;498;896;113;1;13;1;7;0,91;0,83
;1872;513;8345;80;1;13;6;290;8,41;7,6
10097;1904;519;68474;58;1;13;1;2;72,28;65,2
;1912;519;6383;225;1;13;1;1;6,44;5,73
5649;1912;519;6383;225;1;13;1;1;6,44;5,82
;1921;519;7597;58;1;13;1;1;7,66;6,92
;1900;522;34556;58;1;13;1;1;35,0;31,65
22745;1903;522;134418;58;1;13;2;3;178,44;158,63
;1909;522;17868;58;1;13;1;1;18,0;16,0
;1916;522;34556;58;1;13;1;1;35,0;31,63
22744;1916;522;132866;58;1;13;3;5;175,0;157,55
;1949;527;10724;170;1;13;5;336;10,8;9,74
;1975;541;10145;32;1;13;10;392;10,22;9,22
;1978;541;8215;32;1;13;5;336;8,28;7,48
;1987;543;3123;90;1;13;1;112;3,16;2,92
;2790;550;71450;127;1;13;9;756;75,87;68,6
;2792;550;14208;127;1;13;1;84;14,31;13,03
;2793;550;6503;127;1;13;2;224;6,56;5,92
;2795;551;816;127;1;13;1;28;0,83;0,74
;2796;551;3213;127;1;13;2;112;3,25;2,94
;2835;561;1142;17;1;13;1;12;1,16;1,05
;2845;563;6303;42;1;13;1;360;6,36;5,82
;2846;563;5400;42;1;13;3;3;5,45;4,87
;2852;564;11674;275;1;13;1;10;11,76;10,44
26923;2856;565;156158;168;1;13;1;1;235,0;235,0
13314;2869;571;54304;82;1;13;1;28;56,0;49,78
26296;2907;581;29498;273;1;13;1;1;29,8;29,8
;2952;596;2797;242;1;13;1;15;2,83;2,55
;2955;596;2229;242;1;13;1;30;2,26;2,01
;2962;596;8035;242;1;13;5;135;8,1;7,22
;2963;596;975;242;1;13;1;15;0,99;0,88
;2957;597;12349;242;1;13;2;60;12,44;11,17
;2972;599;5965;242;1;13;1;30;6,02;5,35
;2958;601;6283;242;1;13;1;30;6,34;5,64
8356;2958;601;2459;242;1;13;1;30;2,49;2,49
8358;2959;601;2469;242;1;13;1;30;2,5;2,22
;3005;607;2817;170;1;13;1;2;2,85;2,57
;3009;609;13492;200;1;13;2;224;13,59;12,23
6458;3016;614;11484;3;1;13;3;216;11,57;10,45
25118;3069;618;11259;216;1;13;4;90;11,34;10,13
;3079;619;1114;140;1;13;1;1;1,13;1,03
12915;3082;620;4873;206;1;13;1;100;4,92;4,37
;3084;620;4951;198;1;13;3;400;5,0;4,45
;3092;620;11100;198;1;13;4;312;11,18;10,01
12912;3095;620;9667;206;1;13;1;200;9,74;8,78
;3127;634;2110;31;1;13;1;56;2,14;1,93
19327;3150;645;58965;126;1;13;2;10;61,2;61,2
19321;3151;646;55739;126;1;13;1;10;57,58;57,58
19320;3152;646;57699;126;1;13;1;10;59,78;59,78
16131;3158;649;77962;126;1;13;2;10;84,0;84,0
5165;3165;651;54841;126;1;13;2;10;56,6;56,6
12681;3190;658;137671;126;1;13;2;30;185,88;185,88
21905;3210;667;25932;226;1;13;2;4;26,16;23,66
;3214;668;3529;41;1;13;1;84;3,57;3,27
;3217;668;9707;41;1;13;2;168;9,78;8,76
;3215;669;3959;41;1;13;1;56;4,0;3,6
;3236;676;26475;42;1;13;7;220;26,71;23,92
;3241;676;25605;42;1;13;4;196;25,83;23,33
13039;3244;676;20837;42;1;13;2;56;21,0;18,97
;3273;689;2737;254;1;13;1;120;2,77;2,46
18988;3273;689;3549;254;1;13;1;120;3,59;3,19
;3316;702;22896;19;1;13;9;4580;23,08;20,69
16026;3321;704;34094;90;1;13;1;28;34,52;34,52
16029;3324;704;17525;90;1;13;1;42;17,65;15,69
;3327;704;13900;90;1;13;1;56;14,0;12,68
;3370;706;8335;8;1;13;5;280;8,4;7,54
;3372;706;47807;8;1;13;26;1234;48,92;44,05
;3373;706;6782;8;1;13;2;56;6,84;6,12
26952;3373;706;16385;8;1;13;2;84;16,5;14,8
;3381;709;13900;212;1;13;7;30;14,0;14,0
26723;3380;710;14218;212;1;13;1;3;14,32;14,32
;3392;714;28110;43;1;13;3;168;28,38;25,77
;3393;714;18286;43;1;13;1;84;18,42;16,63
15842;3400;717;188728;90;1;13;2;224;355,94;355,94
;3404;717;5759;90;1;13;1;140;5,81;5,17
;3435;726;15777;130;1;13;5;268;15,89;14,23
;3438;726;31662;130;1;13;5;308;32,01;28,64
;3440;726;39222;130;1;13;8;672;39,84;35,65
;3464;727;23926;279;1;13;1;10;24,13;21,45
26285;3464;727;23926;279;1;13;1;10;24,13;22,24
13260;3451;732;13950;279;1;13;1;10;14,05;12,49
19587;3510;742;5838;238;1;13;1;600;5,89;5,24
8876;3228;744;12737;238;1;13;3;1100;12,83;11,4
;3516;747;101946;127;1;13;1;3;117,72;117,72
;3527;749;4931;41;1;13;2;168;4,98;4,46
;3528;749;2159;41;1;13;2;84;2,19;1,96
;3526;750;10844;41;1;13;2;168;10,92;9,83
21106;3530;751;5857;77;1;13;4;214;5,91;5,31
21107;3532;751;7815;77;1;13;3;196;7,88;7,08
;3546;757;5071;10;1;13;2;160;5,12;4,6
;3562;763;15727;41;1;13;7;448;15,84;14,26
;3565;763;786;41;1;13;1;28;0,8;0,72
;3567;763;14514;41;1;13;7;476;14,62;13,04
;3561;764;1530;41;1;13;1;28;1,55;1,4
19385;5358;780;33436;177;1;13;1;4;33,84;30,52
25211;5358;780;30928;176;1;13;1;6;31,26;27,67
;3721;784;16037;3;1;13;4;140;16,15;14,35
7193;3721;784;8235;3;1;13;2;72;8,3;7,46
;3733;788;9467;198;1;13;1;100;9,54;8,48
;3734;788;18746;198;1;13;2;86;18,89;16,97
;3738;791;59289;72;1;13;1;120;61,56;54,73
;3740;792;3469;198;1;13;3;112;3,51;3,14
;3748;794;2827;99;1;13;1;56;2,86;2,86
5334;3788;807;53310;13;1;13;1;168;54,9;54,9
19556;3794;807;43501;13;1;13;1;84;44,33;44,33
;3801;810;61300;127;1;13;4;672;63,84;57,77
11329;3801;810;21114;127;1;13;1;224;21,28;19,18
;3803;810;57305;127;1;13;17;1932;59,34;53,5
11326;3803;810;3799;127;1;13;1;112;3,84;3,52
;3806;810;2429;127;1;13;1;112;2,46;2,22
;3831;814;10544;200;1;13;4;168;10,62;10,62
17908;3837;814;119474;200;1;13;1;8;147,84;147,84
9632;3858;821;127371;82;1;13;3;196;163,33;163,33
;3859;821;20343;82;1;13;2;112;20,5;20,5
7707;3860;821;56310;82;1;13;2;56;58,22;58,22
7708;3863;821;65490;82;1;13;2;56;68,71;68,71
9634;3864;821;62575;82;1;13;1;56;65,33;65,33
7709;3865;821;74162;82;1;13;1;56;79,24;79,24
8480;3877;823;6951;199;1;13;1;1;7,01;6,33
;3885;826;5709;85;1;13;3;224;5,76;5,16
;3899;828;11060;110;1;13;2;42;11,14;10,07
8367;3908;832;1793;257;1;13;1;30;1,82;1,66
17997;3916;833;1930;276;1;13;1;2;1,96;1,96
18126;3930;836;29814;102;1;13;1;84;30,12;27,35
;3938;838;100815;154;1;13;3;120;116,0;103,99
;3940;839;23599;81;1;13;2;112;23,8;21,68
;3943;839;1589;81;1;13;1;28;1,61;1,43
;3945;839;11813;81;1;13;1;56;11,9;10,58
;3950;843;13086;82;1;13;1;60;13,18;13,18
;3958;845;6303;225;1;13;3;3;6,36;5,68
18563;3958;845;22856;225;1;13;2;3;23,04;20,67
;3959;846;1589;60;1;13;1;28;1,61;1,48
;3962;846;4455;60;1;13;1;84;4,5;4,06
;4025;855;13721;163;1;13;1;112;13,82;12,5
6763;4025;855;84173;163;1;13;1;56;92,13;92,13
;4044;869;5885;198;1;13;2;112;5,94;5,28
;4045;869;4604;198;1;13;3;140;4,65;4,17
;4049;869;37994;198;1;13;5;308;38,56;34,62
;4050;869;18325;198;1;13;6;364;18,46;16,51
